Messjahr,Stadt,Indikator,Wert
2021,Zuerich,Anteil der Bevölkerung zwischen 15 und 64 Jahren,57.84353153
2021,London,Anteil der Bevölkerung zwischen 15 und 64 Jahren,38.28370102
2021,Amsterdam,Anteil der Bevölkerung zwischen 15 und 64 Jahren,46.91195687
2021,Muenchen,Anteil der Bevölkerung zwischen 15 und 64 Jahren,42.38388047
2021,Dublin,Anteil der Bevölkerung zwischen 15 und 64 Jahren,52.38021619
2021,Stockholm,Anteil der Bevölkerung zwischen 15 und 64 Jahren,28.7506669
2021,Zuerich,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,100
2021,London,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,100
2021,Amsterdam,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,100
2021,Muenchen,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,88.14268927
2021,Dublin,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,90.39496485
2021,Stockholm,Anteil ICT-Fachkräfte an Gesamtbeschäftigung,100
2021,Zuerich,Anteil Bevölkerung beteiligt an lebenslangem Lernen,100
2021,London,Anteil Bevölkerung beteiligt an lebenslangem Lernen,58.66325245
2021,Amsterdam,Anteil Bevölkerung beteiligt an lebenslangem Lernen,76.18623805
2021,Muenchen,Anteil Bevölkerung beteiligt an lebenslangem Lernen,29.71233114
2021,Dublin,Anteil Bevölkerung beteiligt an lebenslangem Lernen,52.94947316
2021,Stockholm,Anteil Bevölkerung beteiligt an lebenslangem Lernen,100
2022,Zuerich,Attraktivität für internationale Talente,100
2022,London,Attraktivität für internationale Talente,55
2022,Amsterdam,Attraktivität für internationale Talente,86.66666667
2022,Muenchen,Attraktivität für internationale Talente,85
2022,Dublin,Attraktivität für internationale Talente,76.66666667
2022,Stockholm,Attraktivität für internationale Talente,98.33333333
2021,Zuerich,Erwerbstätigenquote,93.50348028
2021,London,Erwerbstätigenquote,78.88714777
2021,Amsterdam,Erwerbstätigenquote,90.25522042
2021,Muenchen,Erwerbstätigenquote,88.63109049
2021,Dublin,Erwerbstätigenquote,69.60556845
2021,Stockholm,Erwerbstätigenquote,86.31090487
2021,Zuerich,Rekrutierungsschwierigkeiten,8.928571429
2021,London,Rekrutierungsschwierigkeiten,19.64285714
2021,Amsterdam,Rekrutierungsschwierigkeiten,26.78571429
2021,Muenchen,Rekrutierungsschwierigkeiten,10.71428571
2021,Dublin,Rekrutierungsschwierigkeiten,17.85714286
2021,Stockholm,Rekrutierungsschwierigkeiten,21.42857143
2023,Zuerich,Anteil Top-Universitäten pro Einwohner,100
2023,London,Anteil Top-Universitäten pro Einwohner,54.79862989
2023,Amsterdam,Anteil Top-Universitäten pro Einwohner,49.66968835
2023,Muenchen,Anteil Top-Universitäten pro Einwohner,15.66850668
2023,Dublin,Anteil Top-Universitäten pro Einwohner,44.35519387
2023,Stockholm,Anteil Top-Universitäten pro Einwohner,66.55062241
2021,Zuerich,Anteil neue MINT Doktoratsabsolventen im Verhältnis zur Population aller 25- bis 34-Jährigen,100
2021,London,Anteil neue MINT Doktoratsabsolventen im Verhältnis zur Population aller 25- bis 34-Jährigen,100
2021,Amsterdam,Anteil neue MINT Doktoratsabsolventen im Verhältnis zur Population aller 25- bis 34-Jährigen,37.42760779
2021,Muenchen,Anteil neue MINT Doktoratsabsolventen im Verhältnis zur Population aller 25- bis 34-Jährigen,44.35519387
2021,Dublin,Anteil neue MINT Doktoratsabsolventen im Verhältnis zur Population aller 25- bis 34-Jährigen,65.23776245
2021,Stockholm,Anteil neue MINT Doktoratsabsolventen im Verhältnis zur Population aller 25- bis 34-Jährigen,65.23776245
2021,Zuerich,Anteil Top Int. Wissenschaftliche Publikationen an allen Publikationen,100
2021,London,Anteil Top Int. Wissenschaftliche Publikationen an allen Publikationen,94.71440896
2021,Amsterdam,Anteil Top Int. Wissenschaftliche Publikationen an allen Publikationen,94.12534353
2021,Muenchen,Anteil Top Int. Wissenschaftliche Publikationen an allen Publikationen,49.66968835
2021,Dublin,Anteil Top Int. Wissenschaftliche Publikationen an allen Publikationen,63.33339047
2021,Stockholm,Anteil Top Int. Wissenschaftliche Publikationen an allen Publikationen,82.15034595
2021,Zuerich,Wissenschaftliche Co-Publikationen im Verhältnis zur Gesamtbevölkerung,54.97050287
2021,London,Wissenschaftliche Co-Publikationen im Verhältnis zur Gesamtbevölkerung,54.97050287
2021,Amsterdam,Wissenschaftliche Co-Publikationen im Verhältnis zur Gesamtbevölkerung,53.76468308
2021,Muenchen,Wissenschaftliche Co-Publikationen im Verhältnis zur Gesamtbevölkerung,66.55062241
2021,Dublin,Wissenschaftliche Co-Publikationen im Verhältnis zur Gesamtbevölkerung,46.99606006
2021,Stockholm,Wissenschaftliche Co-Publikationen im Verhältnis zur Gesamtbevölkerung,54.97050287
2021,Zuerich,Anteil Bevölkerung mit Tertiärabschluss,90.0621118
2021,London,Anteil Bevölkerung mit Tertiärabschluss,71.22153209
2021,Amsterdam,Anteil Bevölkerung mit Tertiärabschluss,76.19047619
2021,Muenchen,Anteil Bevölkerung mit Tertiärabschluss,54.79862989
2021,Dublin,Anteil Bevölkerung mit Tertiärabschluss,91.09730849
2021,Stockholm,Anteil Bevölkerung mit Tertiärabschluss,90.68322981
2020,Zuerich,MINT Abschlüsse pro Einwohner,49.29971989
2020,London,MINT Abschlüsse pro Einwohner,61.62464986
2020,Amsterdam,MINT Abschlüsse pro Einwohner,26.8907563
2020,Muenchen,MINT Abschlüsse pro Einwohner,50.70028011
2020,Dublin,MINT Abschlüsse pro Einwohner,100
2020,Stockholm,MINT Abschlüsse pro Einwohner,36.41456583
2022,Zuerich,Jugendarbeitslosigkeit,90.48582996
2022,London,Jugendarbeitslosigkeit,77.32793522
2022,Amsterdam,Jugendarbeitslosigkeit,89.06882591
2022,Muenchen,Jugendarbeitslosigkeit,95.1417004
2022,Dublin,Jugendarbeitslosigkeit,85.22267206
2022,Stockholm,Jugendarbeitslosigkeit,62.55060729
2022,Zuerich,Berufsweltmeisterschaft,86.03603604
2022,London,Berufsweltmeisterschaft,NA
2022,Amsterdam,Berufsweltmeisterschaft,22.52252252
2022,Muenchen,Berufsweltmeisterschaft,58.10810811
2022,Dublin,Berufsweltmeisterschaft,37.38738739
2022,Stockholm,Berufsweltmeisterschaft,18.01801802
2021,Zuerich,Anteil Öffentliche F&E Ausgaben am BIP,62.87016281
2021,London,Anteil Öffentliche F&E Ausgaben am BIP,34.54427728
2021,Amsterdam,Anteil Öffentliche F&E Ausgaben am BIP,48.36189009
2021,Muenchen,Anteil Öffentliche F&E Ausgaben am BIP,73.92415495
2021,Dublin,Anteil Öffentliche F&E Ausgaben am BIP,18.65370371
2021,Stockholm,Anteil Öffentliche F&E Ausgaben am BIP,66.32444338
2021,Zuerich,Anteil Private F&E Ausgaben am BIP,81.08417211
2021,London,Anteil Private F&E Ausgaben am BIP,20.45045497
2021,Amsterdam,Anteil Private F&E Ausgaben am BIP,43.41244925
2021,Muenchen,Anteil Private F&E Ausgaben am BIP,100
2021,Dublin,Anteil Private F&E Ausgaben am BIP,30.4961566
2021,Stockholm,Anteil Private F&E Ausgaben am BIP,97.58779224
2022,Zuerich,Anteil Venture Capital Ausgaben am BIP,72.1339606
2022,London,Anteil Venture Capital Ausgaben am BIP,100
2022,Amsterdam,Anteil Venture Capital Ausgaben am BIP,94.15304354
2022,Muenchen,Anteil Venture Capital Ausgaben am BIP,62.42492644
2022,Dublin,Anteil Venture Capital Ausgaben am BIP,65.16644305
2022,Stockholm,Anteil Venture Capital Ausgaben am BIP,94.1708942
2021,Zuerich,Produktinnovationen durch KMU,73.23085066
2021,London,Produktinnovationen durch KMU,39.86017071
2021,Amsterdam,Produktinnovationen durch KMU,52.93707682
2021,Muenchen,Produktinnovationen durch KMU,92.47744867
2021,Dublin,Produktinnovationen durch KMU,52.60448601
2021,Stockholm,Produktinnovationen durch KMU,93.02176838
2021,Zuerich,Geschäftsprozessinnovationen durch KMU,77.33190832
2021,London,Geschäftsprozessinnovationen durch KMU,12.72861339
2021,Amsterdam,Geschäftsprozessinnovationen durch KMU,51.36018492
2021,Muenchen,Geschäftsprozessinnovationen durch KMU,81.81614823
2021,Dublin,Geschäftsprozessinnovationen durch KMU,47.68000133
2021,Stockholm,Geschäftsprozessinnovationen durch KMU,71.84021607
2021,Zuerich,KMU mit Kooperationsaktivitäten im Bereich Innovation,37.46776968
2021,London,KMU mit Kooperationsaktivitäten im Bereich Innovation,70.27831559
2021,Amsterdam,KMU mit Kooperationsaktivitäten im Bereich Innovation,50.82988257
2021,Muenchen,KMU mit Kooperationsaktivitäten im Bereich Innovation,65.98361542
2021,Dublin,KMU mit Kooperationsaktivitäten im Bereich Innovation,72.39509512
2021,Stockholm,KMU mit Kooperationsaktivitäten im Bereich Innovation,57.18083874
2021,Zuerich,Patentanmeldungen im Verhältnis zum BIP,87.43329157
2021,London,Patentanmeldungen im Verhältnis zum BIP,46.74926911
2021,Amsterdam,Patentanmeldungen im Verhältnis zum BIP,45.15555909
2021,Muenchen,Patentanmeldungen im Verhältnis zum BIP,100
2021,Dublin,Patentanmeldungen im Verhältnis zum BIP,40.07875738
2021,Stockholm,Patentanmeldungen im Verhältnis zum BIP,100
2021,Zuerich,Trademark Anmeldungen im Verhältnis zum BIP,56.96142457
2021,London,Trademark Anmeldungen im Verhältnis zum BIP,63.81047636
2021,Amsterdam,Trademark Anmeldungen im Verhältnis zum BIP,72.13429821
2021,Muenchen,Trademark Anmeldungen im Verhältnis zum BIP,75.31172168
2021,Dublin,Trademark Anmeldungen im Verhältnis zum BIP,41.13314114
2021,Stockholm,Trademark Anmeldungen im Verhältnis zum BIP,95.64629052
2021,Zuerich,Designeintragungen im Verhältnis zum BIP,27.57310861
2021,London,Designeintragungen im Verhältnis zum BIP,54.17206465
2021,Amsterdam,Designeintragungen im Verhältnis zum BIP,48.90447142
2021,Muenchen,Designeintragungen im Verhältnis zum BIP,79.99119552
2021,Dublin,Designeintragungen im Verhältnis zum BIP,43.78026539
2021,Stockholm,Designeintragungen im Verhältnis zum BIP,56.45368216
2022,Zuerich,Rechtsstaatlichkeit,100
2022,London,Rechtsstaatlichkeit,75.41
2022,Amsterdam,Rechtsstaatlichkeit,90.5
2022,Muenchen,Rechtsstaatlichkeit,75.49
2022,Dublin,Rechtsstaatlichkeit,75.1
2022,Stockholm,Rechtsstaatlichkeit,79.87
2022,Zuerich,Arbeitsmarktregulierung,52.76
2022,London,Arbeitsmarktregulierung,82.62
2022,Amsterdam,Arbeitsmarktregulierung,67.95
2022,Muenchen,Arbeitsmarktregulierung,65.93
2022,Dublin,Arbeitsmarktregulierung,75.01
2022,Stockholm,Arbeitsmarktregulierung,30.3
2022,Zuerich,Unternehmensregulierung,80.21
2022,London,Unternehmensregulierung,73.83
2022,Amsterdam,Unternehmensregulierung,62.81
2022,Muenchen,Unternehmensregulierung,65.59
2022,Dublin,Unternehmensregulierung,65.43
2022,Stockholm,Unternehmensregulierung,67.16
2018,Zuerich,Produktmarktregulierung,48.89
2018,London,Produktmarktregulierung,0
2018,Amsterdam,Produktmarktregulierung,20.65
2018,Muenchen,Produktmarktregulierung,19.61
2018,Dublin,Produktmarktregulierung,39.35
2018,Stockholm,Produktmarktregulierung,21.75
2019,Zuerich,Zeit für Unternehmensgründung,73.97
2019,London,Zeit für Unternehmensgründung,89.04
2019,Amsterdam,Zeit für Unternehmensgründung,91.78
2019,Muenchen,Zeit für Unternehmensgründung,79.45
2019,Dublin,Zeit für Unternehmensgründung,71.23
2019,Stockholm,Zeit für Unternehmensgründung,80.82
2021,Zuerich,BAK Taxation Index für Unternehmen,70.76
2021,London,BAK Taxation Index für Unternehmen,58.05
2021,Amsterdam,BAK Taxation Index für Unternehmen,48.73
2021,Muenchen,BAK Taxation Index für Unternehmen,17.37
2021,Dublin,BAK Taxation Index für Unternehmen,83.05
2021,Stockholm,BAK Taxation Index für Unternehmen,64.41
2021,Zuerich,BAK Taxation Index für hochqualifizierte Arbeitnehmende,62.22
2021,London,BAK Taxation Index für hochqualifizierte Arbeitnehmende,29.7
2021,Amsterdam,BAK Taxation Index für hochqualifizierte Arbeitnehmende,32.73
2021,Muenchen,BAK Taxation Index für hochqualifizierte Arbeitnehmende,40.2
2021,Dublin,BAK Taxation Index für hochqualifizierte Arbeitnehmende,19.19
2021,Stockholm,BAK Taxation Index für hochqualifizierte Arbeitnehmende,12.12
2022,Zuerich,Wettbewerbsfähigkeit der Unternehmensbesteuerung,82.9
2022,London,Wettbewerbsfähigkeit der Unternehmensbesteuerung,62.9
2022,Amsterdam,Wettbewerbsfähigkeit der Unternehmensbesteuerung,71.3
2022,Muenchen,Wettbewerbsfähigkeit der Unternehmensbesteuerung,70.2
2022,Dublin,Wettbewerbsfähigkeit der Unternehmensbesteuerung,55.6
2022,Stockholm,Wettbewerbsfähigkeit der Unternehmensbesteuerung,74.2
2023,Zuerich,Elektrizitätspreise für Unternehmen,66.47398844
2023,London,Elektrizitätspreise für Unternehmen,35.26011561
2023,Amsterdam,Elektrizitätspreise für Unternehmen,52.7938343
2023,Muenchen,Elektrizitätspreise für Unternehmen,32.56262042
2023,Dublin,Elektrizitätspreise für Unternehmen,NA
2023,Stockholm,Elektrizitätspreise für Unternehmen,NA
2016,Zuerich,Arbeitskosten,0
2016,London,Arbeitskosten,45.63034585
2016,Amsterdam,Arbeitskosten,19.15210115
2016,Muenchen,Arbeitskosten,19.78430643
2016,Dublin,Arbeitskosten,31.64745258
2016,Stockholm,Arbeitskosten,27.22201562
2021,Zuerich,Kosten für Sozialabgaben,82.367203
2021,London,Kosten für Sozialabgaben,69.6218812
2021,Amsterdam,Kosten für Sozialabgaben,66.59035706
2021,Muenchen,Kosten für Sozialabgaben,44.96638748
2021,Dublin,Kosten für Sozialabgaben,69.55587393
2021,Stockholm,Kosten für Sozialabgaben,13.43406436
2021,Zuerich,Durchschnittliche Steuerbelastung,56.67647683
2021,London,Durchschnittliche Steuerbelastung,40.61039994
2021,Amsterdam,Durchschnittliche Steuerbelastung,32.8659922
2021,Muenchen,Durchschnittliche Steuerbelastung,8.605946252
2021,Dublin,Durchschnittliche Steuerbelastung,35.46506328
2021,Stockholm,Durchschnittliche Steuerbelastung,19.10693326
2023,Zuerich,BAK Erreichbarkeitsindex (kontinental),86.3
2023,London,BAK Erreichbarkeitsindex (kontinental),91
2023,Amsterdam,BAK Erreichbarkeitsindex (kontinental),100
2023,Muenchen,BAK Erreichbarkeitsindex (kontinental),83.7
2023,Dublin,BAK Erreichbarkeitsindex (kontinental),62.9
2023,Stockholm,BAK Erreichbarkeitsindex (kontinental),57.6
2023,Zuerich,BAK Erreichbarkeitsindex (global),93.4
2023,London,BAK Erreichbarkeitsindex (global),99.9
2023,Amsterdam,BAK Erreichbarkeitsindex (global),99.9
2023,Muenchen,BAK Erreichbarkeitsindex (global),93.2
2023,Dublin,BAK Erreichbarkeitsindex (global),91
2023,Stockholm,BAK Erreichbarkeitsindex (global),86.7
2022,Zuerich,Breitbandpenetration pro Einwohner,100
2022,London,Breitbandpenetration pro Einwohner,73.9
2022,Amsterdam,Breitbandpenetration pro Einwohner,83.1
2022,Muenchen,Breitbandpenetration pro Einwohner,83.2
2022,Dublin,Breitbandpenetration pro Einwohner,44.8
2022,Stockholm,Breitbandpenetration pro Einwohner,72.7
2020,Zuerich,E-Government-Reifegrad,51.4
2020,London,E-Government-Reifegrad,73.6
2020,Amsterdam,E-Government-Reifegrad,90.5
2020,Muenchen,E-Government-Reifegrad,67.4
2020,Dublin,E-Government-Reifegrad,81.9
2020,Stockholm,E-Government-Reifegrad,80.6
2021,Zuerich,Erwerbslosenquote,87.9
2021,London,Erwerbslosenquote,84.68
2021,Amsterdam,Erwerbslosenquote,89.11
2021,Muenchen,Erwerbslosenquote,96.37
2021,Dublin,Erwerbslosenquote,81.45
2021,Stockholm,Erwerbslosenquote,74.19
2021,Zuerich,BIP pro Kopf (KKP),56.18
2021,London,BIP pro Kopf (KKP),29.75
2021,Amsterdam,BIP pro Kopf (KKP),41.32
2021,Muenchen,BIP pro Kopf (KKP),36.89
2021,Dublin,BIP pro Kopf (KKP),88.8
2021,Stockholm,BIP pro Kopf (KKP),39.34
2021,Zuerich,Arbeitsproduktivität,54.07
2021,London,Arbeitsproduktivität,39.35
2021,Amsterdam,Arbeitsproduktivität,46.86
2021,Muenchen,Arbeitsproduktivität,47.39
2021,Dublin,Arbeitsproduktivität,100
2021,Stockholm,Arbeitsproduktivität,52.1
2023,Zuerich,Fortune 500-Unternehmen pro Kopf,100
2023,London,Fortune 500-Unternehmen pro Kopf,14.26
2023,Amsterdam,Fortune 500-Unternehmen pro Kopf,36.51
2023,Muenchen,Fortune 500-Unternehmen pro Kopf,23.08
2023,Dublin,Fortune 500-Unternehmen pro Kopf,38.32
2023,Stockholm,Fortune 500-Unternehmen pro Kopf,6.15
2018,Zuerich,CO?-Emissionen pro US-Dollar des BIP,100
2018,London,CO?-Emissionen pro US-Dollar des BIP,81.6619644
2018,Amsterdam,CO?-Emissionen pro US-Dollar des BIP,71.50145601
2018,Muenchen,CO?-Emissionen pro US-Dollar des BIP,71.44916756
2018,Dublin,CO?-Emissionen pro US-Dollar des BIP,87.46526884
2018,Stockholm,CO?-Emissionen pro US-Dollar des BIP,95.07712146
2019,Zuerich,Einkommensungleichheit (Gini-Koeffizient),87.41634485
2019,London,Einkommensungleichheit (Gini-Koeffizient),76.18570051
2019,Amsterdam,Einkommensungleichheit (Gini-Koeffizient),89.50479853
2019,Muenchen,Einkommensungleichheit (Gini-Koeffizient),69.49982343
2019,Dublin,Einkommensungleichheit (Gini-Koeffizient),75.23078194
2019,Stockholm,Einkommensungleichheit (Gini-Koeffizient),94.45266192
